[2026-07-19 21:22:56 UTC] chmod +x run.bash; sed -i -e 's/\r//g' run.bash; ./run.bash  
rm -f results.xml
make -f Makefile results.xml
make[1]: Entering directory `/home/runner'
mkdir -p sim_build
/usr/local/bin/iverilog -o sim_build/sim.vvp -D COCOTB_SIM=1 -s simple_alu -f sim_build/cmds.f -g2012   /home/runner/design.sv
rm -f results.xml
MODULE=testbench TESTCASE= TOPLEVEL=simple_alu TOPLEVEL_LANG=verilog \
         /usr/local/bin/vvp -M /usr/local/lib64/python3.6/site-packages/cocotb/libs -m libcocotbvpi_icarus   sim_build/sim.vvp 
     -.--ns INFO     gpi                                ..mbed/gpi_embed.cpp:78   in set_program_name_in_venv        Did not detect Python virtual environment. Using system-wide Python interpreter
     -.--ns INFO     gpi                                ../gpi/GpiCommon.cpp:101  in gpi_print_registered_impl       VPI registered
     0.00ns INFO     cocotb                             Running on Icarus Verilog version 12.0 (stable)
     0.00ns INFO     cocotb                             Running tests with cocotb v1.8.1 from /usr/local/lib64/python3.6/site-packages/cocotb
     0.00ns INFO     cocotb                             Seeding Python random module with 1784496187
     0.00ns INFO     cocotb.regression                  pytest not found, install it to enable better AssertionError messages
     0.00ns INFO     cocotb.regression                  Found test testbench.simple_alu_test
     0.00ns INFO     cocotb.regression                  running simple_alu_test (1/1)
                                                          Testbench for simple_alu using Directed Sequences

--- STARTING ARITHMETIC TESTS ---
Opcode: 000 | A: 077 | B: 038 | Res: 115 (Exp: 115) | Status: PASS
Opcode: 100 | A: 083 | B: 165 | Res: 096 (Exp: 096) | Status: PASS
Opcode: 101 | A: 054 | B: 150 | Res: 000 (Exp: 000) | Status: PASS
Opcode: 101 | A: 123 | B: 179 | Res: 015 (Exp: 015) | Status: PASS
Opcode: 101 | A: 175 | B: 176 | Res: 175 (Exp: 175) | Status: PASS
Opcode: 100 | A: 068 | B: 151 | Res: 000 (Exp: 000) | Status: PASS
Opcode: 101 | A: 097 | B: 249 | Res: 048 (Exp: 048) | Status: PASS
Opcode: 100 | A: 187 | B: 136 | Res: 187 (Exp: 187) | Status: PASS
Opcode: 100 | A: 198 | B: 053 | Res: 192 (Exp: 192) | Status: PASS
Opcode: 101 | A: 141 | B: 053 | Res: 004 (Exp: 004) | Status: PASS
Opcode: 101 | A: 138 | B: 244 | Res: 008 (Exp: 008) | Status: PASS
Opcode: 101 | A: 095 | B: 160 | Res: 095 (Exp: 095) | Status: PASS
Opcode: 101 | A: 196 | B: 133 | Res: 006 (Exp: 006) | Status: PASS

==============================================================
[SHIFT (SHL/SHR) SUMMARY] PASSED: 100 | FAILED: 0
==============================================================


*****************************************
*** FINAL TOTAL SUMMARY               ***
*** TOTAL PASSED: 300                 ***
*** TOTAL FAILED: 0                   ***
*****************************************

  1510.00ns INFO     cocotb.regression                  simple_alu_test passed
  1510.00ns INFO     cocotb.regression                  **************************************************************************************
                                                        ** TEST                          STATUS  SIM TIME (ns)  REAL TIME (s)  RATIO (ns/s) **
                                                        **************************************************************************************
                                                        ** testbench.simple_alu_test      PASS        1510.00           0.14      10986.53  **
                                                        **************************************************************************************
                                                        ** TESTS=1 PASS=1 FAIL=0 SKIP=0               1510.00           0.16       9356.18  **
                                                        **************************************************************************************
                                                        
make[1]: Leaving directory `/home/runner'
Creating result.zip...
  adding: __pycache__/ (stored 0%)
  adding: __pycache__/agent.cpython-36.pyc (deflated 43%)
  adding: __pycache__/transaction.cpython-36.pyc (deflated 39%)
  adding: __pycache__/driver.cpython-36.pyc (deflated 38%)
  adding: __pycache__/monitor.cpython-36.pyc (deflated 40%)
  adding: __pycache__/testbench.cpython-36.pyc (deflated 28%)
  adding: __pycache__/generator.cpython-36.pyc (deflated 39%)
  adding: __pycache__/scoreboard.cpython-36.pyc (deflated 51%)
  adding: __pycache__/environment.cpython-36.pyc (deflated 46%)
  adding: run.bash (stored 0%)
  adding: results.xml (deflated 37%)
  adding: sim_build/ (stored 0%)
  adding: sim_build/cmds.f (stored 0%)
  adding: sim_build/sim.vvp (deflated 78%)
  adding: environment.py (deflated 67%)
  adding: testbench.py (deflated 36%)
  adding: scoreboard.py (deflated 72%)
  adding: work/ (stored 0%)
  adding: driver.py (deflated 53%)
  adding: monitor.py (deflated 62%)
  adding: agent.py (deflated 59%)
  adding: Makefile (deflated 13%)
  adding: design.sv (deflated 66%)
  adding: generator.py (deflated 53%)
  adding: transaction.py (deflated 53%)
  adding: ACCELLERA_OVL_VHDL_LIB/ (stored 0%)
  adding: run.sh (deflated 35%)
  adding: .bash_profile (deflated 21%)
  adding: .bash_logout (stored 0%)
  adding: .bashrc (deflated 23%)
[2026-07-19 21:23:07 UTC] Waiting for download...
Done
